feature,coefficient,odds_ratio,abs_coef
Diff_MasseyVsSeedGap,6.519024295815391,677.9166164671108,6.519024295815391
Diff_MasseyImpliedSeed,2.8328764001362328,16.994272918267153,2.8328764001362328
Diff_FullSeasonWinPct,-0.4460831089806039,0.6401305692517982,0.4460831089806039
Diff_Pace,-0.28266039963949446,0.7537757269073592,0.28266039963949446
Diff_ThreePtReliance,0.257832233784666,1.2941216905131674,0.257832233784666
Diff_DefFirstRatio,0.24494378469049435,1.2775494933460405,0.24494378469049435
Diff_eFG_pct,0.24256202598986576,1.2745102994747246,0.24256202598986576
Diff_OffEff,-0.22332201517119724,0.7998572416533914,0.22332201517119724
Diff_NetEff,-0.159879995923395,0.8522460558308386,0.159879995923395
Diff_ORB_pct,0.1438582623017923,1.154720429509692,0.1438582623017923
Diff_TOV_pct,0.12939488009298514,1.1381394640596012,0.12939488009298514
Diff_RecentMomentum,0.11443613409205605,1.1212410297008388,0.11443613409205605
Diff_FTRate,0.027595209412358872,1.0279794837707366,0.027595209412358872
Diff_DefEff,-0.010088686197962958,0.9899620338869946,0.010088686197962958
