ID,Pred
2025_3104_3117,0.9614014789707923
2025_3104_3123,0.8649722731810487
2025_3104_3124,0.44733657233813384
2025_3104_3143,0.7375843367126653
2025_3104_3162,0.839349788373415
2025_3104_3163,0.33414488375460755
2025_3104_3166,0.7699524186952436
2025_3104_3181,0.4062376451127976
2025_3104_3192,0.9551362028441682
2025_3104_3193,0.8494131988842807
2025_3104_3195,0.9192009102402536
2025_3104_3199,0.6064658699557957
2025_3104_3206,0.8303818109642052
2025_3104_3210,0.7536749053581098
2025_3104_3213,0.8932632709488335
2025_3104_3217,0.7890055261546107
2025_3104_3219,0.9623181997460943
2025_3104_3228,0.7216764150524908
2025_3104_3231,0.7466895180142828
2025_3104_3234,0.5882513584066379
2025_3104_3235,0.8334251322998543
2025_3104_3243,0.5106129949200432
2025_3104_3246,0.5004853964685785
2025_3104_3250,0.957219220839472
2025_3104_3251,0.9181082121746104
2025_3104_3257,0.6933226108030927
2025_3104_3261,0.40447719519984243
2025_3104_3268,0.5293701924793792
2025_3104_3276,0.6114066731607564
2025_3104_3277,0.662291559945867
2025_3104_3279,0.5178742254192558
2025_3104_3280,0.7344568881099778
2025_3104_3286,0.8943569324762908
2025_3104_3293,0.8331829276722997
2025_3104_3301,0.42504820084481054
2025_3104_3304,0.8084955402754799
2025_3104_3313,0.9073973849251643
2025_3104_3314,0.46984978107758046
2025_3104_3323,0.402747227738559
2025_3104_3326,0.5377807253242991
2025_3104_3328,0.42230681772446527
2025_3104_3329,0.6774561107581527
2025_3104_3332,0.8133850842970374
2025_3104_3333,0.9386854342968545
2025_3104_3343,0.8404135618702725
2025_3104_3350,0.6814900458235102
2025_3104_3355,0.8087972678670448
2025_3104_3361,0.9368708736706934
2025_3104_3372,0.9271135255269707
2025_3104_3376,0.31283621929917743
2025_3104_3378,0.8915341888977812
2025_3104_3380,0.9675033933302014
2025_3104_3395,0.36501623787011067
2025_3104_3397,0.5249894505369571
2025_3104_3399,0.9715629448942443
2025_3104_3400,0.3104762186976949
2025_3104_3417,0.3059077833348672
2025_3104_3422,0.9718234312842692
2025_3104_3425,0.2997225366208862
2025_3104_3428,0.7146488592159292
2025_3104_3435,0.6627290014192146
2025_3104_3436,0.9471874790678351
2025_3104_3449,0.8175249171208788
2025_3104_3452,0.5935776527610104
2025_3104_3453,0.872994911016031
2025_3104_3456,0.9628472686585788
2025_3104_3471,0.959851081806893
2025_3117_3123,0.3474491126200651
2025_3117_3124,0.030125105682729747
2025_3117_3143,0.16922089769837612
2025_3117_3162,0.29996440480335335
2025_3117_3163,0.030446963759598305
2025_3117_3166,0.2301442009426744
2025_3117_3181,0.02569948556814089
2025_3117_3192,0.5653630812154703
2025_3117_3193,0.34861364550398827
2025_3117_3195,0.4583139567185723
2025_3117_3199,0.09186513005303586
2025_3117_3206,0.2897839304247381
2025_3117_3210,0.20638067907407204
2025_3117_3213,0.39744835515332905
2025_3117_3217,0.2499919725385274
2025_3117_3219,0.6066924464955218
2025_3117_3228,0.18386228886860348
2025_3117_3231,0.24387118345928877
