Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2022,133,7OT,1101,164
2022,133,7OT,1102,276
2022,133,7OT,1103,100
2022,133,7OT,1104,6
2022,133,7OT,1105,346
2022,133,7OT,1106,336
2022,133,7OT,1107,297
2022,133,7OT,1108,267
2022,133,7OT,1110,340
2022,133,7OT,1111,65
2022,133,7OT,1112,12
2022,133,7OT,1113,88
2022,133,7OT,1114,321
2022,133,7OT,1115,348
2022,133,7OT,1116,42
2022,133,7OT,1117,206
2022,133,7OT,1119,250
2022,133,7OT,1120,7
2022,133,7OT,1122,327
2022,133,7OT,1123,265
2022,133,7OT,1124,17
2022,133,7OT,1125,63
2022,133,7OT,1126,344
2022,133,7OT,1127,240
2022,133,7OT,1129,16
2022,133,7OT,1130,219
2022,133,7OT,1131,189
2022,133,7OT,1132,241
2022,133,7OT,1133,111
2022,133,7OT,1135,214
2022,133,7OT,1136,118
2022,133,7OT,1137,304
2022,133,7OT,1138,134
2022,133,7OT,1139,147
2022,133,7OT,1140,55
2022,133,7OT,1141,330
2022,133,7OT,1142,259
2022,133,7OT,1143,139
2022,133,7OT,1144,181
2022,133,7OT,1145,275
2022,133,7OT,1146,322
2022,133,7OT,1148,352
2022,133,7OT,1149,351
2022,133,7OT,1150,135
2022,133,7OT,1151,52
2022,133,7OT,1152,339
2022,133,7OT,1153,87
2022,133,7OT,1154,249
2022,133,7OT,1155,104
2022,133,7OT,1156,102
2022,133,7OT,1157,167
2022,133,7OT,1158,116
2022,133,7OT,1159,114
2022,133,7OT,1160,113
2022,133,7OT,1161,33
2022,133,7OT,1162,355
2022,133,7OT,1163,48
2022,133,7OT,1164,329
2022,133,7OT,1165,170
2022,133,7OT,1166,85
2022,133,7OT,1167,299
2022,133,7OT,1168,230
2022,133,7OT,1169,300
2022,133,7OT,1170,277
2022,133,7OT,1171,245
2022,133,7OT,1172,35
2022,133,7OT,1173,25
2022,133,7OT,1174,101
2022,133,7OT,1175,347
2022,133,7OT,1176,316
2022,133,7OT,1177,143
2022,133,7OT,1178,260
2022,133,7OT,1179,109
2022,133,7OT,1180,176
2022,133,7OT,1181,2
2022,133,7OT,1182,251
2022,133,7OT,1183,357
2022,133,7OT,1184,287
2022,133,7OT,1185,283
2022,133,7OT,1186,235
2022,133,7OT,1187,172
2022,133,7OT,1188,326
2022,133,7OT,1189,254
2022,133,7OT,1190,92
2022,133,7OT,1191,296
2022,133,7OT,1192,349
2022,133,7OT,1193,215
2022,133,7OT,1194,120
2022,133,7OT,1195,217
2022,133,7OT,1196,136
2022,133,7OT,1197,331
2022,133,7OT,1198,288
2022,133,7OT,1199,138
2022,133,7OT,1200,213
2022,133,7OT,1201,84
2022,133,7OT,1202,59
2022,133,7OT,1203,203
2022,133,7OT,1204,271
2022,133,7OT,1205,175
2022,133,7OT,1206,133
2022,133,7OT,1207,239
2022,133,7OT,1208,263
2022,133,7OT,1209,128
2022,133,7OT,1210,200
2022,133,7OT,1211,1
2022,133,7OT,1212,317
2022,133,7OT,1213,96
2022,133,7OT,1214,323
2022,133,7OT,1216,281
2022,133,7OT,1217,218
2022,133,7OT,1218,158
2022,133,7OT,1219,205
2022,133,7OT,1220,78
2022,133,7OT,1221,350
2022,133,7OT,1222,4
2022,133,7OT,1223,338
2022,133,7OT,1224,264
2022,133,7OT,1225,313
2022,133,7OT,1226,328
2022,133,7OT,1227,286
2022,133,7OT,1228,22
2022,133,7OT,1229,228
2022,133,7OT,1230,333
2022,133,7OT,1231,43
2022,133,7OT,1232,233
2022,133,7OT,1233,19
2022,133,7OT,1234,27
2022,133,7OT,1235,86
2022,133,7OT,1236,160
2022,133,7OT,1237,356
2022,133,7OT,1238,335
2022,133,7OT,1239,269
2022,133,7OT,1240,180
2022,133,7OT,1241,197
2022,133,7OT,1242,3
2022,133,7OT,1243,141
2022,133,7OT,1244,262
2022,133,7OT,1245,67
2022,133,7OT,1246,11
2022,133,7OT,1247,226
2022,133,7OT,1248,278
2022,133,7OT,1249,353
2022,133,7OT,1250,273
2022,133,7OT,1251,107
2022,133,7OT,1252,220
2022,133,7OT,1253,151
2022,133,7OT,1254,171
2022,133,7OT,1255,163
2022,133,7OT,1256,73
2022,133,7OT,1257,146
2022,133,7OT,1258,193
2022,133,7OT,1259,279
2022,133,7OT,1260,54
2022,133,7OT,1261,26
2022,133,7OT,1262,272
2022,133,7OT,1263,343
2022,133,7OT,1264,274
2022,133,7OT,1265,194
2022,133,7OT,1266,121
2022,133,7OT,1267,184
2022,133,7OT,1268,112
2022,133,7OT,1269,191
2022,133,7OT,1270,310
2022,133,7OT,1271,312
2022,133,7OT,1272,13
2022,133,7OT,1273,123
2022,133,7OT,1274,89
2022,133,7OT,1275,290
2022,133,7OT,1276,30
2022,133,7OT,1277,40
2022,133,7OT,1278,148
2022,133,7OT,1279,129
2022,133,7OT,1280,93
2022,133,7OT,1281,183
2022,133,7OT,1282,201
2022,133,7OT,1283,56
2022,133,7OT,1284,110
2022,133,7OT,1285,182
2022,133,7OT,1286,66
2022,133,7OT,1287,105
2022,133,7OT,1288,298
2022,133,7OT,1290,354
2022,133,7OT,1291,208
2022,133,7OT,1292,71
2022,133,7OT,1293,47
2022,133,7OT,1294,162
2022,133,7OT,1295,155
2022,133,7OT,1296,303
2022,133,7OT,1297,157
2022,133,7OT,1298,108
2022,133,7OT,1299,293
2022,133,7OT,1300,332
2022,133,7OT,1301,137
2022,133,7OT,1303,308
2022,133,7OT,1304,144
